,period,model,mean,stderr,count
0,1600-1650,(Historical),84.71615720524018,1.6832216354900298,458
1,1600-1650,claude-3-sonnet-20240229,94.48275862068965,1.902637397384695,145
2,1600-1650,deepseek/deepseek-chat,94.6524064171123,1.649637629092328,187
3,1600-1650,gpt-3.5-turbo,90.52631578947368,3.0205285724061395,95
4,1600-1650,ollama/llama3.1:8b,87.6847290640394,1.6328882200521397,406
5,1600-1650,ollama/llama3.1:8b-text-q4_K_M,37.2093023255814,3.696369368553611,172
6,1600-1650,ollama/mistral,53.48837209302326,7.696367820108109,43
7,1600-1650,ollama/mistral:text,42.391304347826086,5.180381154537974,92
8,1600-1650,ollama/olmo2:latest,74.02597402597402,2.5026061803942103,308
9,1650-1700,(Historical),87.55760368663594,1.5861892437949177,434
10,1650-1700,claude-3-sonnet-20240229,90.47619047619048,2.6255330956362326,126
11,1650-1700,deepseek/deepseek-chat,95.6043956043956,1.523733241755902,182
12,1650-1700,gpt-3.5-turbo,91.42857142857143,2.745054065230065,105
13,1650-1700,ollama/llama3.1:8b,87.33905579399142,1.5420938930824355,466
14,1650-1700,ollama/llama3.1:8b-text-q4_K_M,37.755102040816325,3.471541794449719,196
15,1650-1700,ollama/mistral,75.0,6.316139407998893,48
16,1650-1700,ollama/mistral:text,39.130434782608695,5.116073090561323,92
17,1650-1700,ollama/olmo2:latest,70.14492753623189,2.467334202247701,345
18,1700-1750,(Historical),83.70967741935483,1.4842510054930091,620
19,1700-1750,claude-3-sonnet-20240229,94.73684210526316,1.8171642241529558,152
20,1700-1750,deepseek/deepseek-chat,94.85714285714286,1.6744131493727585,175
21,1700-1750,gpt-3.5-turbo,88.74172185430463,2.5807996018852952,151
22,1700-1750,ollama/llama3.1:8b,86.88524590163935,1.5296378191766304,488
23,1700-1750,ollama/llama3.1:8b-text-q4_K_M,40.476190476190474,3.3952521396277575,210
24,1700-1750,ollama/mistral,64.0625,6.045129344330238,64
25,1700-1750,ollama/mistral:text,47.82608695652174,4.678500755208437,115
26,1700-1750,ollama/olmo2:latest,75.47169811320755,2.4165521461727866,318
27,1750-1800,(Historical),83.8,1.6494123566423553,500
28,1750-1800,claude-3-sonnet-20240229,88.88888888888889,2.917920730216057,117
29,1750-1800,deepseek/deepseek-chat,91.80327868852459,2.4937705708914324,122
30,1750-1800,gpt-3.5-turbo,92.24137931034483,2.4946305363103227,116
31,1750-1800,ollama/llama3.1:8b,91.89189189189189,1.4980603862453197,333
32,1750-1800,ollama/llama3.1:8b-text-q4_K_M,31.055900621118013,3.6581425432887413,161
33,1750-1800,ollama/mistral,50.0,7.293249574894729,48
34,1750-1800,ollama/mistral:text,39.784946236559136,5.10291122856655,93
35,1750-1800,ollama/olmo2:latest,73.75886524822695,2.6244920349843057,282
36,1800-1850,(Historical),83.5728952772074,1.6807189713664945,487
37,1800-1850,claude-3-sonnet-20240229,88.0952380952381,3.5546555837212925,84
38,1800-1850,deepseek/deepseek-chat,94.38202247191012,2.4546710604081543,89
39,1800-1850,gpt-3.5-turbo,98.41269841269842,1.5873015873015868,63
40,1800-1850,ollama/llama3.1:8b,88.30188679245283,1.9780667292514917,265
41,1800-1850,ollama/llama3.1:8b-text-q4_K_M,30.357142857142858,4.364226155841042,112
42,1800-1850,ollama/mistral,68.42105263157895,7.641750223933593,38
43,1800-1850,ollama/mistral:text,40.0,6.123724356957945,65
44,1800-1850,ollama/olmo2:latest,69.88416988416988,2.8561234285001427,259
45,1850-1900,(Historical),71.28547579298831,1.850123615261787,599
46,1850-1900,claude-3-sonnet-20240229,87.12871287128714,3.348818717878765,101
47,1850-1900,deepseek/deepseek-chat,85.57692307692308,3.4616940467897503,104
48,1850-1900,gpt-3.5-turbo,82.05128205128206,4.373348027807393,78
49,1850-1900,ollama/llama3.1:8b,87.08791208791209,1.7600453733189194,364
50,1850-1900,ollama/llama3.1:8b-text-q4_K_M,28.571428571428573,3.571428571428571,161
51,1850-1900,ollama/mistral,64.28571428571429,7.483181740388339,42
52,1850-1900,ollama/mistral:text,27.5,5.023678111916795,80
53,1850-1900,ollama/olmo2:latest,70.6070287539936,2.5791013926117863,313
54,1900-1950,(Historical),19.90811638591118,1.5638156010162447,653
55,1900-1950,claude-3-sonnet-20240229,65.71428571428571,4.026049373452907,140
56,1900-1950,deepseek/deepseek-chat,44.29530201342282,4.08313639789279,149
57,1900-1950,gpt-3.5-turbo,51.041666666666664,5.128778381842841,96
58,1900-1950,ollama/llama3.1:8b,64.33915211970074,2.3949888916694797,401
59,1900-1950,ollama/llama3.1:8b-text-q4_K_M,7.6502732240437155,1.9702465986142015,183
60,1900-1950,ollama/mistral,46.3768115942029,6.047450247559489,69
61,1900-1950,ollama/mistral:text,9.70873786407767,2.9315962918813474,103
62,1900-1950,ollama/olmo2:latest,57.64075067024129,2.5619312530098086,373
63,1950-2000,(Historical),15.346534653465346,1.7954570044366012,404
64,1950-2000,claude-3-sonnet-20240229,69.91869918699187,4.152073768551428,123
65,1950-2000,deepseek/deepseek-chat,39.59731543624161,4.020037778721018,149
66,1950-2000,gpt-3.5-turbo,31.77570093457944,4.522350077382033,107
67,1950-2000,ollama/llama3.1:8b,56.883116883116884,2.5272590461582953,385
68,1950-2000,ollama/llama3.1:8b-text-q4_K_M,3.141361256544503,1.2654684489617014,191
69,1950-2000,ollama/mistral,47.05882352941177,6.097894768809601,68
70,1950-2000,ollama/mistral:text,6.25,2.483498169496957,96
71,1950-2000,ollama/olmo2:latest,49.85994397759104,2.6499843037009105,357
